latitude,longitude,date
40.812,-74.38,10/25/1997
39.561,-104.879,11/20/1997
42.231,-71.175,3/17/1998
42.382,-83.334,5/1/1998
42.418,-83.433,5/1/1998
42.517,-83.119,5/1/1998
42.496,-82.937,5/1/1998
42.605,-83.294,5/1/1998
33.808,-118.332,9/24/1998
39.675,-75.649,10/1/1998
42.055,-88.045,11/17/1998
41.846,-87.963,11/17/1998
40.694,-74.29,11/19/1998
34.428,-119.873,11/24/1998
39.96,-105.172,4/15/1999
33.991,-118.446,6/24/1999
40.238,-75.237,7/10/1999
40.564,-74.556,8/24/1999
35.963,-86.819,8/27/1999
26.546,-81.875,9/30/1999
40.973,-73.863,10/29/1999
35.192,-89.793,11/18/1999
35.046,-89.796,11/18/1999
32.712,-117.114,11/22/1999
40.282,-111.68,11/23/1999
26.219,-81.773,12/7/1999
28.597,-81.301,12/8/1999
39.297,-84.302,2/16/2000
42.012,-87.782,6/1/2000
40.551,-111.894,6/2/2000
33.659,-112.115,6/22/2000
32.78,-117.13,6/29/2000
21.42,-158.006,7/20/2000
48.454,-122.338,8/3/2000
32.676,-97.405,9/21/2000
33.045,-96.7,9/21/2000
35.068,-106.531,10/24/2000
34.742,-86.601,11/2/2000
39.116,-119.776,11/10/2000
47.156,-122.309,11/14/2000
37.125,-113.522,11/15/2000
44.968,-93.35,11/16/2000
42.707,-83.296,11/22/2000
27.923000000000002,-82.332,11/28/2000
30.252,-81.536,11/29/2000
36.028,-78.914,11/30/2000
33.899,-118.373,12/5/2000
39.286,-84.452,12/6/2000
39.068,-94.583,1/12/2001
42.185,-88.092,2/21/2001
32.795,-80.037,4/18/2001
32.685,-97.114,4/27/2001
32.943,-97.113,4/27/2001
41.931,-87.677,5/2/2001
38.796,-90.609,5/8/2001
41.092,-73.452,5/9/2001
29.954,-95.547,6/7/2001
29.788,-95.53,6/7/2001
35.162,-80.885,6/21/2001
40.313,-76.8,8/28/2001
30.396,-97.746,8/30/2001
39.791,-105.081,9/19/2001
33.023,-96.83,9/27/2001
36.065,-80.318,9/28/2001
36.163,-115.333,10/4/2001
44.639,-123.065,10/12/2001
42.629,-82.981,10/17/2001
39.036,-94.356,10/18/2001
45.199,-93.35,10/23/2001
41.474,-87.322,10/24/2001
29.575,-98.596,11/3/2001
33.492,-112.128,11/20/2001
38.959,-94.731,11/27/2001
40.692,-80.11,11/28/2001
35.127,-80.704,11/29/2001
39.155,-76.73,12/1/2001
39.402,-77.411,12/1/2001
41.94,-88.13,12/7/2001
34.083,-117.69,12/11/2001
38.907,-94.671,2/21/2002
33.568,-117.712,6/6/2002
40.458,-80.167,7/9/2002
38.295,-77.517,7/10/2002
29.611,-98.476,7/11/2002
41.009,-73.691,8/29/2002
37.754,-121.476,9/17/2002
38.352,-122.715,9/18/2002
38.508,-90.339,9/20/2002
39.914,-86.062,10/3/2002
39.916,-86.225,10/3/2002
33.465,-112.275,10/11/2002
42.107,-87.822,10/17/2002
41.525,-81.447,10/22/2002
42.402,-71.07,11/21/2002
36.842,-119.789,11/26/2002
38.35,-121.981,12/6/2002
41.458,-82.016,12/10/2002
37.009,-121.554,3/1/2003
40.234,-74.048,3/20/2003
27.96,-82.728,5/15/2003
38.646,-121.111,5/23/2003
41.727,-88.206,7/1/2003
45.333,-122.766,7/24/2003
42.535,-83.445,9/25/2003
38.898,-77.445,10/9/2003
47.239,-122.375,11/12/2003
31.782,-106.411,11/13/2003
41.197,-111.979,11/18/2003
33.379,-86.811,11/20/2003
36.058,-79.884,11/21/2003
38.692,-121.297,12/13/2003
33.706,-78.916,3/18/2004
47.708,-116.782,4/22/2004
42.179,-88.338,7/8/2004
32.937,-117.036,7/23/2004
39.115,-77.533,7/28/2004
41.994,-72.576,7/29/2004
32.997,-96.964,8/25/2004
37.52,-120.888,8/26/2004
45.684,-122.604,8/27/2004
42.083,-87.937,10/13/2004
44.862,-93.43,11/18/2004
41.561,-93.805,12/7/2004
42.504,-83.759,12/8/2004
42.913,-85.545,12/9/2004
39.971,-74.912,3/3/2005
34.091,-84.277,6/4/2005
42.876,-85.763,6/16/2005
33.803,-118.039,7/14/2005
47.779,-122.149,8/26/2005
35.252,-120.689,9/17/2005
26.008,-80.361,10/14/2005
33.933,-117.97,10/26/2005
36.278,-115.209,10/27/2005
33.67,-112.029,11/11/2005
45.536,-122.935,11/17/2005
40.89,-111.893,11/22/2005
33.295,-111.899,12/1/2005
35.296,-119.057,4/26/2006
34.062,-83.995,5/3/2006
33.298,-111.748,5/4/2006
33.695,-117.334,5/5/2006
30.222,-97.839,6/1/2006
47.06,-122.76,7/18/2006
34.247,-77.873,7/28/2006
32.621,-96.911,8/9/2006
43.614,-116.592,8/23/2006
40.39,-111.827,8/24/2006
39.579,-119.74,8/25/2006
48.148,-122.189,9/21/2006
21.968,-159.382,10/17/2006
39.643,-106.889,10/20/2006
35.818,-78.622,10/25/2006
38.315,-85.574,10/26/2006
45.092,-93.424,10/27/2006
36.139,-86.884,11/14/2006
33.881,-84.472,11/15/2006
34.139,-117.444,11/17/2006
33.707,-116.272,11/22/2006
46.617,-112.006,11/28/2006
40.148,-82.978,11/29/2006
41.601,-87.86,11/30/2006
39.993,-104.978,2/21/2007
40.404,-79.92,3/8/2007
26.489,-81.786,4/12/2007
26.681,-80.22,4/13/2007
38.645,-77.3,5/5/2007
33.699,-117.824,6/7/2007
40.69,-111.954,8/3/2007
34.94,-81.998,8/15/2007
