latitude,longitude,date
33.473,-111.985,12/1/94
34.578,-112.363,6/27/96
39.561,-104.879,11/20/97
32.775,-117.022,11/19/92
37.254,-121.876,6/1/87
38.598,-121.452,8/6/84
36.703,-121.667,8/29/97
34.014,-117.745,11/1/85
34.428,-119.873,11/24/98
37.665,-122.449,10/1/87
34.069,-117.261,6/22/89
33.991,-118.446,6/24/99
39.96,-105.172,4/15/99
33.375,-111.842,11/1/79
37.898,-122.321,10/16/86
32.712,-117.114,11/22/99
40.282,-111.68,11/23/99
21.42,-158.006,7/20/00
46.226,-119.235,7/1/87
40.551,-111.894,6/2/00
32.78,-117.13,6/29/00
32.676,-97.405,9/21/00
33.659,-112.115,6/22/00
33.52,-117.156,11/26/91
36.172,-115.163,2/19/09
33.919,-118.343,3/20/09
33.995,-118.143,7/23/09
32.816,-117.154,9/15/10
33.572,-84.333,9/4/12
41.76,-87.742,4/13/15
26.489,-81.786,4/12/07
40.69,-111.954,8/3/07
26.681,-80.22,4/13/07
47.359,-122.601,11/2/07
41.313,-81.817,11/18/09
38.645,-77.3,5/5/07
34.139,-117.444,11/17/06
43.311,-87.925,8/30/07
39.993,-104.978,2/21/07
36.139,-86.884,11/14/06
33.881,-84.472,11/15/06
40.148,-82.978,11/29/06
46.617,-112.006,11/28/06
38.315,-85.574,10/26/06
34.247,-77.873,7/28/06
32.621,-96.911,8/9/06
39.643,-106.889,10/20/06
33.707,-116.272,11/22/06
48.079,-123.125,9/9/93
21.968,-159.382,10/17/06
30.222,-97.839,6/1/06
48.148,-122.189,9/21/06
35.296,-119.057,4/26/06
33.298,-111.748,5/4/06
35.818,-78.622,10/25/06
39.579,-119.74,8/25/06
41.601,-87.86,11/30/06
45.092,-93.424,10/27/06
40.404,-79.92,3/8/07
39.709,-105.016,6/1/16
28.403,-81.407,8/26/16
44.999,-93.216,6/27/18
34.201,-118.38,8/9/17
37.662,-122.402,8/22/17
32.871,-96.763,9/5/19
36.842,-119.789,11/26/02
37.754,-121.476,9/17/02
38.352,-122.715,9/18/02
47.156,-122.309,11/14/00
37.7,-121.066,8/10/89
48.454,-122.338,8/3/00
37.959,-122.035,12/10/86
33.045,-96.7,9/21/00
33.52,-112.094,11/1/78
35.068,-106.531,10/24/00
32.685,-97.114,4/27/01
32.943,-97.113,4/27/01
47.657,-117.333,12/1/83
33.899,-118.373,12/5/00
37.125,-113.522,11/15/00
36.069,-115.037,11/15/91
33.644,-112.231,8/1/88
29.954,-95.547,6/7/01
39.791,-105.081,9/19/01
34.184,-118.323,11/1/84
34.077,-117.547,10/1/92
33.995,-117.921,12/19/86
29.788,-95.53,6/7/01
30.396,-97.746,8/30/01
44.639,-123.065,10/12/01
32.997,-96.964,8/25/04
33.023,-96.83,9/27/01
36.163,-115.333,10/4/01
34.083,-117.69,12/11/01
21.318,-157.87,5/12/88
35.383,-119.047,10/3/85
29.575,-98.596,11/3/01
33.568,-117.712,6/6/02
33.465,-112.275,10/11/02
45.536,-122.935,11/17/05
29.611,-98.476,7/11/02
38.35,-121.981,12/6/02
40.877,-74.041,3/15/16
40.39,-111.827,8/24/06
43.614,-116.592,8/23/06
40.89,-111.893,11/22/05
33.295,-111.899,12/1/05
36.278,-115.209,10/27/05
33.67,-112.029,11/11/05
40.056,-74.155,11/21/92
47.06,-122.76,7/18/06
35.252,-120.689,9/17/05
26.008,-80.361,10/14/05
34.091,-84.277,6/4/05
42.876,-85.763,6/16/05
48.235,-114.331,12/3/93
33.695,-117.334,5/5/06
47.779,-122.149,8/26/05
33.803,-118.039,7/14/05
39.971,-74.912,3/3/05
37.009,-121.554,3/1/03
43.585,-116.274,10/11/88
34.66,-118.149,9/29/88
40.658,-111.891,1/12/84
38.646,-121.111,5/23/03
45.333,-122.766,7/24/03
47.239,-122.375,11/12/03
31.782,-106.411,11/13/03
33.945,-118.335,7/8/85
41.197,-111.979,11/18/03
38.692,-121.297,12/13/03
45.684,-122.604,8/27/04
47.708,-116.782,4/22/04
42.179,-88.338,7/8/04
32.937,-117.036,7/23/04
33.933,-117.97,10/26/05
37.502,-121.971,5/26/88
42.083,-87.937,10/13/04
41.994,-72.576,7/29/04
32.609,-117.081,10/1/81
37.52,-120.888,8/26/04
44.862,-93.43,11/18/04
42.913,-85.545,12/9/04
40.925,-72.704,6/26/14
